time,active_robots,distance_traveled_total,tasks_completed,pending_orders,pedestrians_remaining
10,0,0,0,0,30
20,1,10,0,0,30
30,1,21,1,0,30
40,1,31,1,0,30
50,1,40,2,0,30
60,2,52,2,0,30
70,1,65,3,0,30
80,2,83,3,0,30
90,1,94,4,0,30
100,2,106,4,0,30
110,2,135,5,0,30
120,0,148,7,0,30
130,1,150,7,0,30
140,1,160,7,0,30
150,2,175,7,0,30
160,0,186,9,0,30
170,1,188,9,0,30
180,2,207,9,0,30
190,1,227,10,0,30
200,1,237,10,0,30
210,2,250,11,0,30
220,2,270,11,0,30
230,0,276,13,0,30
240,1,279,13,0,30
250,2,295,13,0,30
260,0,311,15,0,30
270,0,311,15,0,30
280,0,311,15,0,30
290,1,316,15,0,30
300,1,333,17,0,30
310,0,337,18,0,30
320,0,345,19,0,30
330,0,345,19,0,30
340,3,364,19,0,30
350,3,388,20,0,30
360,3,418,21,0,30
370,1,439,23,0,30
380,2,456,24,0,30
390,1,475,25,0,30
400,0,481,26,0,30
410,1,484,26,0,30
420,1,494,26,0,30
430,1,504,26,0,30
440,0,508,27,0,30
450,0,508,27,0,30
460,1,512,27,0,30
470,1,522,27,0,30
480,2,541,28,0,30
490,2,563,29,0,30
500,0,576,31,0,30
510,0,576,31,0,30
520,2,587,31,0,30
530,2,607,31,0,30
540,0,616,33,0,30
550,0,616,33,0,30
560,1,619,33,0,30
570,1,635,34,0,30
580,0,644,35,0,30
590,0,644,35,0,30
600,1,645,35,0,30
610,1,655,35,0,30
620,1,671,36,0,30
630,2,683,36,0,30
640,1,695,37,0,30
650,2,715,37,0,30
660,1,726,38,0,30
670,0,731,39,0,30
680,0,731,39,0,30
690,0,731,39,0,30
700,0,731,39,0,30
710,0,731,39,0,30
720,0,731,39,0,30
730,0,731,39,0,30
740,0,731,39,0,30
750,0,731,39,0,30
760,0,731,39,0,30
770,1,737,39,0,30
780,1,747,39,0,30
790,1,757,39,0,30
800,1,769,40,0,30
810,10,869,40,0,30
820,10,950,40,0,30
830,10,982,40,1,30
840,10,991,40,1,30
850,10,991,40,2,30
860,10,991,40,3,30
870,10,991,40,3,30
880,10,991,40,5,30
890,10,991,40,6,30
900,10,991,40,7,29
910,10,991,40,8,29
920,10,991,40,8,29
930,10,991,40,9,28
940,10,991,40,10,28
950,10,991,40,11,28
960,10,991,40,12,28
970,10,991,40,12,28
980,10,991,40,13,28
990,10,991,40,13,28
1000,10,991,40,13,28
1010,10,991,40,13,28
1020,10,991,40,15,28
1030,10,991,40,15,28
1040,10,991,40,16,28
1050,10,991,40,18,28
1060,10,991,40,18,28
1070,10,991,40,18,28
1080,10,991,40,20,27
1090,10,991,40,20,27
1100,10,991,40,20,26
1110,10,991,40,20,26
1120,10,991,40,20,26
1130,10,991,40,20,26
1140,10,991,40,20,26
1150,10,991,40,20,26
1160,10,991,40,21,26
1170,10,991,40,22,26
1180,10,991,40,22,26
1190,10,991,40,22,26
1200,10,991,40,23,25
1210,10,991,40,25,25
1220,10,991,40,25,25
1230,10,991,40,25,25
1240,10,991,40,26,25
1250,10,991,40,27,25
1260,10,991,40,27,25
1270,10,991,40,28,25
1280,10,991,40,29,25
1290,10,991,40,31,25
1300,10,991,40,31,25
1310,10,991,40,32,25
1320,10,991,40,32,25
1330,10,991,40,32,25
1340,10,991,40,33,25
1350,10,991,40,34,25
1360,10,991,40,34,25
1370,10,991,40,34,25
1380,10,991,40,34,25
1390,10,991,40,34,25
1400,10,991,40,34,25
1410,10,991,40,35,25
1420,10,991,40,36,25
1430,10,991,40,38,25
1440,10,991,40,39,25
1450,10,991,40,39,25
1460,10,991,40,40,25
1470,10,991,40,41,25
1480,10,991,40,41,25
1490,10,991,40,42,25
1500,10,991,40,42,25
1510,10,991,40,43,25
1520,10,991,40,45,25
1530,10,991,40,45,25
1540,10,991,40,45,25
1550,10,991,40,46,25
1560,10,991,40,46,25
1570,10,991,40,46,25
1580,10,991,40,47,25
1590,10,991,40,47,25
1600,10,991,40,47,25
1610,10,991,40,47,25
1620,10,991,40,47,25
1630,10,991,40,47,25
1640,10,991,40,47,25
1650,10,991,40,47,25
1660,10,991,40,48,25
1670,10,991,40,48,25
1680,10,991,40,48,25
1690,10,991,40,48,25
1700,10,991,40,49,25
1710,10,991,40,49,25
1720,10,991,40,49,25
1730,10,991,40,49,25
1740,10,991,40,49,25
1750,10,991,40,51,25
1760,10,991,40,52,25
1770,10,991,40,52,25
1780,10,991,40,52,25
1790,10,991,40,53,25
1800,10,991,40,55,25
1810,10,991,40,55,25
1820,10,991,40,56,25
1830,10,991,40,57,25
1840,10,991,40,57,25
1850,10,991,40,57,25
1860,10,991,40,57,25
1870,10,991,40,58,25
1880,10,991,40,58,25
1890,10,991,40,59,25
1900,10,991,40,59,25
1910,10,991,40,61,25
1920,10,991,40,61,25
1930,10,991,40,62,25
1940,10,991,40,62,25
1950,10,991,40,62,25
1960,10,991,40,62,25
1970,10,991,40,63,25
1980,10,991,40,64,25
1990,10,991,40,64,25
2000,10,991,40,64,25
