time,active_robots,distance_traveled_total,tasks_completed,pending_orders,pedestrians_remaining
10,0,0,0,0,80
20,1,10,0,0,80
30,2,21,0,0,80
40,1,36,1,0,80
50,1,47,2,0,80
60,2,59,2,0,80
70,1,72,3,0,80
80,2,90,3,0,80
90,1,101,4,0,80
100,2,113,4,0,80
110,2,142,5,0,80
120,0,154,7,0,80
130,1,156,7,0,80
140,1,166,7,0,80
150,2,181,7,0,80
160,0,192,9,0,80
170,1,194,9,0,80
180,2,213,9,0,80
190,1,233,10,0,80
200,1,243,10,0,80
210,2,256,11,0,80
220,2,276,11,0,80
230,0,282,13,0,80
240,1,285,13,0,80
250,2,301,13,0,80
260,0,317,15,0,80
270,0,317,15,0,80
280,0,317,15,0,80
290,1,322,15,0,80
300,1,339,17,0,80
310,0,343,18,0,80
320,0,351,19,0,80
330,0,351,19,0,80
340,3,370,19,0,80
350,3,394,20,0,80
360,3,424,21,0,80
370,1,445,23,0,80
380,2,462,24,0,80
390,1,481,25,0,80
400,0,487,26,0,80
410,1,490,26,0,80
420,1,500,26,0,80
430,1,510,26,0,80
440,0,514,27,0,80
450,0,514,27,0,80
460,1,518,27,0,80
470,1,528,27,0,80
480,2,547,28,0,80
490,2,569,29,0,80
500,0,582,31,0,80
510,0,582,31,0,80
520,2,593,31,0,80
530,2,613,31,0,80
540,0,622,33,0,80
550,0,622,33,0,80
560,1,625,33,0,80
570,1,641,34,0,80
580,0,650,35,0,80
590,0,650,35,0,80
600,1,651,35,0,80
610,1,661,35,0,80
620,1,677,36,0,80
630,2,689,36,0,80
640,1,701,37,0,80
650,2,721,37,0,80
660,1,732,38,0,80
670,0,737,39,0,80
680,0,737,39,0,80
690,0,737,39,0,80
700,0,737,39,0,80
710,0,737,39,0,80
720,0,737,39,0,80
730,0,737,39,0,80
740,0,737,39,0,80
750,0,737,39,0,80
760,0,737,39,0,80
770,1,743,39,0,80
780,1,753,39,0,80
790,1,763,39,0,80
800,1,775,40,0,80
810,0,775,40,0,80
820,0,775,40,0,80
830,0,775,40,1,80
840,0,775,40,1,80
850,0,775,40,2,80
860,0,775,40,3,80
870,0,775,40,3,80
880,0,775,40,5,79
890,0,775,40,6,78
900,0,775,40,7,78
910,0,775,40,8,78
920,0,775,40,8,78
930,0,775,40,9,78
940,0,775,40,10,78
950,0,775,40,11,78
960,0,775,40,12,78
970,0,775,40,12,78
980,0,775,40,13,78
990,0,775,40,13,77
1000,0,775,40,13,77
1010,0,775,40,13,77
1020,0,775,40,15,76
1030,0,775,40,15,76
1040,0,775,40,16,76
1050,0,775,40,18,75
1060,0,775,40,18,75
1070,0,775,40,18,75
1080,0,775,40,20,75
1090,0,775,40,20,75
1100,0,775,40,20,75
1110,0,775,40,20,75
1120,0,775,40,20,74
1130,0,775,40,20,74
1140,0,775,40,20,74
1150,0,775,40,20,74
1160,0,775,40,21,74
1170,0,775,40,22,74
1180,0,775,40,22,73
1190,0,775,40,22,73
1200,0,775,40,23,73
1210,0,775,40,25,73
1220,0,775,40,25,73
1230,0,775,40,25,73
1240,0,775,40,26,73
1250,0,775,40,27,73
1260,0,775,40,27,73
1270,0,775,40,28,73
1280,0,775,40,29,73
1290,0,775,40,31,73
1300,0,775,40,31,73
1310,0,775,40,32,73
1320,0,775,40,32,73
1330,0,775,40,32,73
1340,0,775,40,33,73
1350,0,775,40,34,73
1360,0,775,40,34,73
1370,0,775,40,34,73
1380,0,775,40,34,73
1390,0,775,40,34,73
1400,0,775,40,34,73
1410,0,775,40,35,73
1420,0,775,40,36,73
1430,0,775,40,38,73
1440,0,775,40,39,73
1450,0,775,40,39,73
1460,0,775,40,40,73
1470,0,775,40,41,73
1480,0,775,40,41,73
1490,0,775,40,42,73
1500,0,775,40,42,73
1510,0,775,40,43,73
1520,0,775,40,45,73
1530,0,775,40,45,73
1540,0,775,40,45,73
1550,0,775,40,46,73
1560,0,775,40,46,73
1570,0,775,40,46,73
1580,0,775,40,47,73
1590,0,775,40,47,73
1600,0,775,40,47,73
1610,0,775,40,47,73
1620,0,775,40,47,73
1630,0,775,40,47,73
1640,0,775,40,47,73
1650,0,775,40,47,73
1660,0,775,40,48,73
1670,0,775,40,48,73
1680,0,775,40,48,73
1690,0,775,40,48,73
1700,0,775,40,49,73
1710,0,775,40,49,73
1720,0,775,40,49,73
1730,0,775,40,49,73
1740,0,775,40,49,73
1750,0,775,40,51,73
1760,0,775,40,52,73
1770,0,775,40,52,73
1780,0,775,40,52,73
1790,0,775,40,53,73
1800,0,775,40,55,73
1810,0,775,40,55,73
1820,0,775,40,56,73
1830,0,775,40,57,73
1840,0,775,40,57,73
1850,0,775,40,57,73
1860,0,775,40,57,73
1870,0,775,40,58,73
1880,0,775,40,58,73
1890,0,775,40,59,73
1900,0,775,40,59,73
1910,0,775,40,61,73
1920,0,775,40,61,73
1930,0,775,40,62,73
1940,0,775,40,62,73
1950,0,775,40,62,73
1960,0,775,40,62,73
1970,0,775,40,63,73
1980,0,775,40,64,73
1990,0,775,40,64,73
2000,0,775,40,64,73
