time,active_robots,distance_traveled_total,tasks_completed,pending_orders,pedestrians_remaining
10,0,0,0,0,30
20,1,10,0,0,30
30,2,21,0,0,30
40,1,36,1,0,30
50,1,47,2,0,30
60,2,59,2,0,30
70,1,72,3,0,30
80,2,90,3,0,30
90,1,101,4,0,30
100,2,113,4,0,30
110,2,142,5,0,30
120,0,154,7,0,30
130,1,156,7,0,30
140,1,166,7,0,30
150,2,181,7,0,30
160,0,192,9,0,30
170,1,194,9,0,30
180,2,213,9,0,30
190,1,233,10,0,30
200,1,243,10,0,30
210,2,256,11,0,30
220,2,276,11,0,30
230,0,282,13,0,30
240,1,285,13,0,30
250,2,301,13,0,30
260,0,317,15,0,30
270,0,317,15,0,30
280,0,317,15,0,30
290,1,322,15,0,30
300,1,339,17,0,30
310,0,439,17,0,30
320,0,511,17,1,30
330,0,542,17,1,30
340,0,543,17,4,30
350,0,543,17,5,30
360,0,543,17,6,30
370,0,543,17,6,30
380,0,543,17,8,29
390,0,543,17,8,29
400,0,543,17,8,29
410,0,543,17,9,29
420,0,543,17,9,29
430,0,543,17,9,29
440,0,543,17,9,28
450,0,543,17,9,28
460,0,543,17,10,28
470,0,543,17,10,28
480,0,543,17,12,28
490,0,543,17,13,28
500,0,543,17,13,28
510,0,543,17,13,28
520,0,543,17,15,28
530,0,543,17,15,28
540,0,543,17,15,28
550,0,543,17,15,28
560,0,543,17,16,28
570,0,543,17,17,28
580,0,543,17,17,28
590,0,543,17,17,27
600,0,543,17,18,27
610,0,543,17,18,27
620,0,543,17,19,26
630,0,543,17,20,26
640,0,543,17,20,26
650,0,543,17,21,26
660,0,543,17,21,26
670,0,543,17,21,26
680,0,543,17,21,25
690,0,543,17,21,25
700,0,543,17,21,25
710,0,543,17,21,25
720,0,543,17,21,25
730,0,543,17,21,25
740,0,543,17,21,25
750,0,543,17,21,25
760,0,543,17,21,25
770,0,543,17,22,25
780,0,543,17,22,25
790,0,543,17,22,25
800,0,543,17,23,25
810,0,543,17,23,25
820,0,543,17,23,25
830,0,543,17,24,25
840,0,543,17,24,25
850,0,543,17,25,25
860,0,543,17,26,25
870,0,543,17,26,25
880,0,543,17,28,25
890,0,543,17,29,25
900,0,543,17,30,25
910,0,543,17,31,25
920,0,543,17,31,25
930,0,543,17,32,25
940,0,543,17,33,25
950,0,543,17,34,25
960,0,543,17,35,25
970,0,543,17,35,25
980,0,543,17,36,25
990,0,543,17,36,25
1000,0,543,17,36,25
1010,0,543,17,36,25
1020,0,543,17,38,25
1030,0,543,17,38,25
1040,0,543,17,39,25
1050,0,543,17,41,25
1060,0,543,17,41,25
1070,0,543,17,41,25
1080,0,543,17,43,25
1090,0,543,17,43,25
1100,0,543,17,43,25
1110,0,543,17,43,25
1120,0,543,17,43,25
1130,0,543,17,43,25
1140,0,543,17,43,25
1150,0,543,17,43,25
1160,0,543,17,44,25
1170,0,543,17,45,25
1180,0,543,17,45,25
1190,0,543,17,45,25
1200,0,543,17,46,25
1210,0,543,17,48,25
1220,0,543,17,48,25
1230,0,543,17,48,25
1240,0,543,17,49,25
1250,0,543,17,50,25
1260,0,543,17,50,25
1270,0,543,17,51,25
1280,0,543,17,52,25
1290,0,543,17,54,25
1300,0,543,17,54,25
1310,0,543,17,55,25
1320,0,543,17,55,25
1330,0,543,17,55,25
1340,0,543,17,56,25
1350,0,543,17,57,25
1360,0,543,17,57,25
1370,0,543,17,57,25
1380,0,543,17,57,25
1390,0,543,17,57,25
1400,0,543,17,57,25
1410,0,543,17,58,25
1420,0,543,17,59,25
1430,0,543,17,61,25
1440,0,543,17,62,25
1450,0,543,17,62,25
1460,0,543,17,63,25
1470,0,543,17,64,25
1480,0,543,17,64,25
1490,0,543,17,65,25
1500,0,543,17,65,25
1510,0,543,17,66,25
1520,0,543,17,68,25
1530,0,543,17,68,25
1540,0,543,17,68,25
1550,0,543,17,69,25
1560,0,543,17,69,25
1570,0,543,17,69,25
1580,0,543,17,70,25
1590,0,543,17,70,25
1600,0,543,17,70,25
1610,0,543,17,70,25
1620,0,543,17,70,25
1630,0,543,17,70,25
1640,0,543,17,70,25
1650,0,543,17,70,25
1660,0,543,17,71,25
1670,0,543,17,71,25
1680,0,543,17,71,25
1690,0,543,17,71,25
1700,0,543,17,72,25
1710,0,543,17,72,25
1720,0,543,17,72,25
1730,0,543,17,72,25
1740,0,543,17,72,25
1750,0,543,17,74,25
1760,0,543,17,75,25
1770,0,543,17,75,25
1780,0,543,17,75,25
1790,0,543,17,76,25
1800,0,543,17,78,25
1810,0,543,17,78,25
1820,0,543,17,79,25
1830,0,543,17,80,25
1840,0,543,17,80,25
1850,0,543,17,80,25
1860,0,543,17,80,25
1870,0,543,17,81,25
1880,0,543,17,81,25
1890,0,543,17,82,25
1900,0,543,17,82,25
1910,0,543,17,84,25
1920,0,543,17,84,25
1930,0,543,17,85,25
1940,0,543,17,85,25
1950,0,543,17,85,25
1960,0,543,17,85,25
1970,0,543,17,86,25
1980,0,543,17,87,25
1990,0,543,17,87,25
2000,0,543,17,87,25
