time,active_robots,distance_traveled_total,tasks_completed,pending_orders,pedestrians_remaining
10,1,4,0,0,30
20,2,24,0,0,30
30,3,48,1,0,30
40,4,80,2,0,30
50,3,132,5,0,30
60,4,160,6,0,30
70,4,196,8,0,30
80,6,248,9,0,30
90,5,308,11,0,30
100,4,354,15,0,30
110,2,391,19,0,30
120,2,411,19,0,30
130,3,432,20,0,30
140,3,461,21,0,30
150,4,498,22,0,30
160,3,537,24,0,30
170,4,572,25,0,30
180,4,611,27,0,30
190,3,653,29,0,30
200,2,678,31,0,30
210,4,701,33,0,30
220,2,737,35,0,30
230,2,764,36,0,30
240,2,779,37,0,30
250,1,787,39,0,30
260,2,798,39,0,30
270,2,826,40,0,30
280,1,842,41,0,30
290,2,864,42,0,30
300,5,909,43,0,30
310,1,945,48,0,30
320,3,972,48,0,30
330,2,994,49,0,30
340,5,1034,51,0,30
350,4,1071,53,0,30
360,5,1116,54,0,30
370,4,1158,56,0,30
380,6,1222,59,0,30
390,3,1278,63,0,30
400,0,1302,66,0,30
410,3,1316,66,0,30
420,1,1340,68,0,30
430,3,1364,69,0,30
440,6,1418,71,0,30
450,7,1489,72,0,30
460,9,1565,74,0,30
470,6,1653,78,0,30
480,7,1719,80,0,30
490,5,1766,83,0,30
500,4,1817,85,0,30
510,2,1852,87,0,30
520,3,1881,88,0,30
530,3,1913,89,0,30
540,1,1924,92,0,30
550,2,1938,92,0,30
560,3,1960,93,0,30
570,4,2001,94,0,30
580,4,2040,95,0,30
590,3,2070,99,0,30
600,5,2111,99,0,30
610,6,2171,100,0,30
620,6,2240,103,0,30
630,4,2286,106,0,30
640,3,2315,108,0,30
650,4,2361,109,0,30
660,4,2410,111,0,30
670,3,2444,113,0,30
680,3,2471,115,0,30
690,1,2492,117,0,30
700,2,2508,117,0,30
710,2,2540,120,0,30
720,3,2562,120,0,30
730,2,2580,123,0,30
740,2,2600,123,0,30
750,0,2615,125,0,30
760,2,2631,125,0,30
770,1,2647,127,0,30
780,3,2671,128,0,30
790,2,2694,129,0,30
800,1,2706,131,0,30
810,0,2706,131,1,30
820,0,2706,131,3,30
830,0,2706,131,4,30
840,0,2706,131,5,30
850,0,2706,131,8,30
860,0,2706,131,11,30
870,0,2706,131,11,30
880,0,2706,131,13,29
890,0,2706,131,16,29
900,0,2706,131,18,29
910,0,2706,131,19,29
920,0,2706,131,20,29
930,0,2706,131,21,29
940,0,2706,131,24,28
950,0,2706,131,26,28
960,0,2706,131,27,28
970,0,2706,131,28,28
980,0,2706,131,30,28
990,0,2706,131,32,28
1000,0,2706,131,34,28
1010,0,2706,131,34,28
1020,0,2706,131,36,28
1030,0,2706,131,36,28
1040,0,2706,131,40,28
1050,0,2706,131,42,28
1060,0,2706,131,42,28
1070,0,2706,131,43,28
1080,0,2706,131,45,28
1090,0,2706,131,46,27
1100,0,2706,131,46,27
1110,0,2706,131,47,27
1120,0,2706,131,49,26
1130,0,2706,131,50,26
1140,0,2706,131,52,26
1150,0,2706,131,52,26
1160,0,2706,131,53,26
1170,0,2706,131,55,26
1180,0,2706,131,56,25
1190,0,2706,131,58,25
1200,0,2706,131,61,25
1210,0,2706,131,63,25
1220,0,2706,131,64,25
1230,0,2706,131,64,25
1240,0,2706,131,65,25
1250,0,2706,131,67,25
1260,0,2706,131,70,25
1270,0,2706,131,72,25
1280,0,2706,131,75,25
1290,0,2706,131,79,25
1300,0,2706,131,81,25
1310,0,2706,131,83,25
1320,0,2706,131,86,25
1330,0,2706,131,86,25
1340,0,2706,131,88,25
1350,0,2706,131,89,25
1360,0,2706,131,89,25
1370,0,2706,131,90,25
1380,0,2706,131,90,25
1390,0,2706,131,91,25
1400,0,2706,131,92,25
1410,0,2706,131,93,25
1420,0,2706,131,97,25
1430,0,2706,131,100,25
1440,0,2706,131,102,25
1450,0,2706,131,103,25
1460,0,2706,131,104,25
1470,0,2706,131,106,25
1480,0,2706,131,106,25
1490,0,2706,131,108,25
1500,0,2706,131,109,25
1510,0,2706,131,110,25
1520,0,2706,131,112,25
1530,0,2706,131,114,25
1540,0,2706,131,115,25
1550,0,2706,131,117,25
1560,0,2706,131,117,25
1570,0,2706,131,118,25
1580,0,2706,131,120,25
1590,0,2706,131,121,25
1600,0,2706,131,125,25
1610,0,2706,131,127,25
1620,0,2706,131,127,25
1630,0,2706,131,129,25
1640,0,2706,131,129,25
1650,0,2706,131,131,25
1660,0,2706,131,133,25
1670,0,2706,131,134,25
1680,0,2706,131,135,25
1690,0,2706,131,136,25
1700,0,2706,131,140,25
1710,0,2706,131,141,25
1720,0,2706,131,144,25
1730,0,2706,131,148,25
1740,0,2706,131,149,25
1750,0,2706,131,152,25
1760,0,2706,131,154,25
1770,0,2706,131,155,25
1780,0,2706,131,155,25
1790,0,2706,131,157,25
1800,0,2706,131,162,25
1810,0,2706,131,163,25
1820,0,2706,131,165,25
1830,0,2706,131,167,25
1840,0,2706,131,168,25
1850,0,2706,131,169,25
1860,0,2706,131,169,25
1870,0,2706,131,171,25
1880,0,2706,131,171,25
1890,0,2706,131,172,25
1900,0,2706,131,173,25
1910,0,2706,131,176,25
1920,0,2706,131,176,25
1930,0,2706,131,179,25
1940,0,2706,131,180,25
1950,0,2706,131,182,25
1960,0,2706,131,183,25
1970,0,2706,131,185,25
1980,0,2706,131,186,25
1990,0,2706,131,188,25
2000,0,2706,131,191,25
