time,active_robots,distance_traveled_total,tasks_completed,pending_orders,pedestrians_remaining
10,0,0,0,0,30
20,1,10,0,0,30
30,2,21,0,0,30
40,1,33,1,0,30
50,2,51,1,0,30
60,2,71,2,0,30
70,1,84,3,0,30
80,2,102,3,0,30
90,1,113,4,0,30
100,2,125,4,0,30
110,1,154,6,0,30
120,0,162,7,0,30
130,1,164,7,0,30
140,1,174,7,0,30
150,2,189,7,0,30
160,0,200,9,0,30
170,1,202,9,0,30
180,2,221,9,0,30
190,1,241,10,0,30
200,1,251,10,0,30
210,2,264,11,0,30
220,2,284,11,0,30
230,0,290,13,0,30
240,1,293,13,0,30
250,2,309,13,0,30
260,0,325,15,0,30
270,0,325,15,0,30
280,0,325,15,0,30
290,1,330,15,0,30
300,1,347,17,0,30
310,0,351,18,0,30
320,0,359,19,0,30
330,0,359,19,0,30
340,3,378,19,0,30
350,3,402,20,0,30
360,3,432,21,0,30
370,1,453,23,0,30
380,2,470,24,0,30
390,1,489,25,0,30
400,0,495,26,0,30
410,1,498,26,0,30
420,1,508,26,0,30
430,1,518,26,0,30
440,0,522,27,0,30
450,0,522,27,0,30
460,1,526,27,0,30
470,1,536,27,0,30
480,2,555,28,0,30
490,2,577,29,0,30
500,0,590,31,0,30
510,0,590,31,0,30
520,2,601,31,0,30
530,2,621,31,0,30
540,0,630,33,0,30
550,0,630,33,0,30
560,1,633,33,0,30
570,1,649,34,0,30
580,0,658,35,0,30
590,0,658,35,0,30
600,1,659,35,0,30
610,1,669,35,0,30
620,1,685,36,0,30
630,2,697,36,0,30
640,1,709,37,0,30
650,2,729,37,0,30
660,1,740,38,0,30
670,0,745,39,0,30
680,0,745,39,0,30
690,0,745,39,0,30
700,0,745,39,0,30
710,0,745,39,0,30
720,0,745,39,0,30
730,0,745,39,0,30
740,0,745,39,0,30
750,0,745,39,0,30
760,0,745,39,0,30
770,1,751,39,0,30
780,1,761,39,0,30
790,1,771,39,0,30
800,1,783,40,0,30
810,0,983,40,0,30
820,0,1158,40,0,30
830,0,1264,40,1,30
840,0,1278,40,1,30
850,0,1278,40,2,30
860,0,1278,40,3,30
870,0,1278,40,3,30
880,0,1278,40,5,30
890,0,1278,40,6,29
900,0,1278,40,7,29
910,0,1278,40,8,29
920,0,1278,40,8,29
930,0,1278,40,9,29
940,0,1278,40,10,29
950,0,1278,40,11,29
960,0,1278,40,12,29
970,0,1278,40,12,29
980,0,1278,40,13,29
990,0,1278,40,13,29
1000,0,1278,40,13,28
1010,0,1278,40,13,28
1020,0,1278,40,15,28
1030,0,1278,40,15,27
1040,0,1278,40,16,27
1050,0,1278,40,18,27
1060,0,1278,40,18,27
1070,0,1278,40,18,26
1080,0,1278,40,20,26
1090,0,1278,40,20,26
1100,0,1278,40,20,26
1110,0,1278,40,20,26
1120,0,1278,40,20,26
1130,0,1278,40,20,26
1140,0,1278,40,20,26
1150,0,1278,40,20,26
1160,0,1278,40,21,26
1170,0,1278,40,22,25
1180,0,1278,40,22,25
1190,0,1278,40,22,25
1200,0,1278,40,23,25
1210,0,1278,40,25,25
1220,0,1278,40,25,24
1230,0,1278,40,25,24
1240,0,1278,40,26,24
1250,0,1278,40,27,24
1260,0,1278,40,27,24
1270,0,1278,40,28,24
1280,0,1278,40,29,24
1290,0,1278,40,31,24
1300,0,1278,40,31,24
1310,0,1278,40,32,24
1320,0,1278,40,32,24
1330,0,1278,40,32,24
1340,0,1278,40,33,24
1350,0,1278,40,34,24
1360,0,1278,40,34,24
1370,0,1278,40,34,24
1380,0,1278,40,34,24
1390,0,1278,40,34,24
1400,0,1278,40,34,24
1410,0,1278,40,35,24
1420,0,1278,40,36,24
1430,0,1278,40,38,24
1440,0,1278,40,39,24
1450,0,1278,40,39,24
1460,0,1278,40,40,24
1470,0,1278,40,41,24
1480,0,1278,40,41,24
1490,0,1278,40,42,24
1500,0,1278,40,42,24
1510,0,1278,40,43,24
1520,0,1278,40,45,24
1530,0,1278,40,45,24
1540,0,1278,40,45,24
1550,0,1278,40,46,24
1560,0,1278,40,46,24
1570,0,1278,40,46,24
1580,0,1278,40,47,24
1590,0,1278,40,47,24
1600,0,1278,40,47,24
1610,0,1278,40,47,24
1620,0,1278,40,47,24
1630,0,1278,40,47,24
1640,0,1278,40,47,24
1650,0,1278,40,47,24
1660,0,1278,40,48,24
1670,0,1278,40,48,24
1680,0,1278,40,48,24
1690,0,1278,40,48,24
1700,0,1278,40,49,24
1710,0,1278,40,49,24
1720,0,1278,40,49,24
1730,0,1278,40,49,24
1740,0,1278,40,49,24
1750,0,1278,40,51,24
1760,0,1278,40,52,24
1770,0,1278,40,52,24
1780,0,1278,40,52,24
1790,0,1278,40,53,24
1800,0,1278,40,55,24
1810,0,1278,40,55,24
1820,0,1278,40,56,24
1830,0,1278,40,57,24
1840,0,1278,40,57,24
1850,0,1278,40,57,24
1860,0,1278,40,57,24
1870,0,1278,40,58,24
1880,0,1278,40,58,24
1890,0,1278,40,59,24
1900,0,1278,40,59,24
1910,0,1278,40,61,24
1920,0,1278,40,61,24
1930,0,1278,40,62,24
1940,0,1278,40,62,24
1950,0,1278,40,62,24
1960,0,1278,40,62,24
1970,0,1278,40,63,24
1980,0,1278,40,64,24
1990,0,1278,40,64,24
2000,0,1278,40,64,24
