time,active_robots,distance_traveled_total,tasks_completed,pending_orders,pedestrians_remaining
10,0,0,0,0,30
20,0,0,0,0,30
30,0,0,0,0,30
40,0,0,0,0,30
50,0,0,0,0,30
60,0,0,0,0,30
70,0,0,0,0,30
80,1,8,0,0,30
90,1,18,0,0,30
100,0,25,1,0,30
110,0,25,1,0,30
120,0,25,1,0,30
130,1,27,1,0,30
140,0,31,2,0,30
150,0,31,2,0,30
160,0,31,2,0,30
170,0,31,2,0,30
180,1,40,2,0,30
190,1,50,2,0,30
200,0,52,3,0,30
210,1,56,4,0,30
220,1,66,4,0,30
230,1,76,4,0,30
240,1,86,4,0,30
250,1,99,5,0,30
260,1,109,5,0,30
270,1,119,5,0,30
280,0,122,6,0,30
290,0,122,6,0,30
300,0,122,6,0,30
310,0,122,6,0,30
320,0,122,6,0,30
330,0,122,6,0,30
340,1,130,6,0,30
350,1,140,6,0,30
360,0,142,7,0,30
370,0,142,7,0,30
380,1,151,7,0,30
390,1,161,7,0,30
400,1,171,7,0,30
410,1,176,8,0,30
420,1,186,8,0,30
430,1,196,8,0,30
440,0,206,9,0,30
450,0,206,9,0,30
460,1,210,9,0,30
470,0,217,10,0,30
480,1,227,10,0,30
490,1,237,10,0,30
500,0,241,11,0,30
510,0,241,11,0,30
520,0,241,11,0,30
530,0,241,11,0,30
540,0,241,11,0,30
550,0,241,11,0,30
560,0,241,11,0,30
570,1,248,11,0,30
580,0,254,12,0,30
590,0,254,12,0,30
600,0,254,12,0,30
610,0,254,12,0,30
620,0,254,12,0,30
630,0,254,12,0,30
640,0,254,12,0,30
650,0,254,12,0,30
660,0,254,12,0,30
670,0,254,12,0,30
680,0,254,12,0,30
690,0,254,12,0,30
700,0,254,12,0,30
710,0,254,12,0,30
720,0,254,12,0,30
730,0,254,12,0,30
740,0,254,12,0,30
750,0,254,12,0,30
760,0,254,12,0,30
770,0,254,12,0,30
780,0,254,12,0,30
790,0,254,12,0,30
800,1,260,12,0,30
810,10,360,12,0,30
820,10,425,12,0,30
830,10,456,12,1,30
840,10,460,12,1,30
850,10,460,12,2,30
860,10,460,12,2,30
870,10,460,12,2,30
880,10,460,12,2,29
890,10,460,12,3,29
900,10,460,12,4,29
910,10,460,12,4,29
920,10,460,12,4,29
930,10,460,12,4,29
940,10,460,12,5,28
950,10,460,12,6,28
960,10,460,12,6,28
970,10,460,12,6,28
980,10,460,12,6,28
990,10,460,12,6,28
1000,10,460,12,6,28
1010,10,460,12,6,28
1020,10,460,12,6,28
1030,10,460,12,6,28
1040,10,460,12,6,28
1050,10,460,12,6,28
1060,10,460,12,6,28
1070,10,460,12,6,28
1080,10,460,12,7,28
1090,10,460,12,7,27
1100,10,460,12,7,27
1110,10,460,12,7,27
1120,10,460,12,7,26
1130,10,460,12,7,26
1140,10,460,12,7,26
1150,10,460,12,7,26
1160,10,460,12,7,26
1170,10,460,12,8,26
1180,10,460,12,8,25
1190,10,460,12,8,25
1200,10,460,12,8,25
1210,10,460,12,8,25
1220,10,460,12,8,25
1230,10,460,12,8,25
1240,10,460,12,8,25
1250,10,460,12,8,25
1260,10,460,12,8,25
1270,10,460,12,9,25
1280,10,460,12,9,25
1290,10,460,12,10,25
1300,10,460,12,10,25
1310,10,460,12,10,25
1320,10,460,12,10,25
1330,10,460,12,10,25
1340,10,460,12,10,25
1350,10,460,12,10,25
1360,10,460,12,10,25
1370,10,460,12,10,25
1380,10,460,12,10,25
1390,10,460,12,10,25
1400,10,460,12,10,25
1410,10,460,12,10,25
1420,10,460,12,10,25
1430,10,460,12,11,25
1440,10,460,12,11,25
1450,10,460,12,11,25
1460,10,460,12,11,25
1470,10,460,12,11,25
1480,10,460,12,11,25
1490,10,460,12,12,25
1500,10,460,12,12,25
1510,10,460,12,12,25
1520,10,460,12,14,25
1530,10,460,12,14,25
1540,10,460,12,14,25
1550,10,460,12,14,25
1560,10,460,12,14,25
1570,10,460,12,14,25
1580,10,460,12,14,25
1590,10,460,12,14,25
1600,10,460,12,14,25
1610,10,460,12,14,25
1620,10,460,12,14,25
1630,10,460,12,14,25
1640,10,460,12,14,25
1650,10,460,12,14,25
1660,10,460,12,14,25
1670,10,460,12,14,25
1680,10,460,12,14,25
1690,10,460,12,14,25
1700,10,460,12,14,25
1710,10,460,12,14,25
1720,10,460,12,14,25
1730,10,460,12,14,25
1740,10,460,12,14,25
1750,10,460,12,16,25
1760,10,460,12,17,25
1770,10,460,12,17,25
1780,10,460,12,17,25
1790,10,460,12,17,25
1800,10,460,12,18,25
1810,10,460,12,18,25
1820,10,460,12,18,25
1830,10,460,12,18,25
1840,10,460,12,18,25
1850,10,460,12,18,25
1860,10,460,12,18,25
1870,10,460,12,18,25
1880,10,460,12,18,25
1890,10,460,12,19,25
1900,10,460,12,19,25
1910,10,460,12,20,25
1920,10,460,12,20,25
1930,10,460,12,21,25
1940,10,460,12,21,25
1950,10,460,12,21,25
1960,10,460,12,21,25
1970,10,460,12,21,25
1980,10,460,12,21,25
1990,10,460,12,21,25
2000,10,460,12,21,25
