time,active_robots,distance_traveled_total,tasks_completed,pending_orders,pedestrians_remaining
10,0,0,0,0,30
20,1,10,0,0,30
30,2,21,0,0,30
40,1,35,1,0,30
50,2,53,1,0,30
60,3,75,1,0,30
70,1,98,3,0,30
80,2,116,3,0,30
90,2,136,3,0,30
100,3,158,3,0,30
110,2,197,5,0,30
120,1,214,6,0,30
130,2,226,6,0,30
140,1,238,7,0,30
150,2,253,7,0,30
160,0,264,9,0,30
170,1,266,9,0,30
180,2,285,9,0,30
190,1,305,10,0,30
200,1,315,10,0,30
210,2,328,11,0,30
220,2,348,11,0,30
230,0,354,13,0,30
240,1,357,13,0,30
250,2,373,13,0,30
260,0,389,15,0,30
270,0,389,15,0,30
280,0,389,15,0,30
290,1,394,15,0,30
300,0,408,18,0,30
310,0,408,18,0,30
320,0,416,19,0,30
330,0,416,19,0,30
340,3,435,19,0,30
350,3,459,20,0,30
360,3,489,21,0,30
370,1,510,23,0,30
380,2,527,24,0,30
390,1,546,25,0,30
400,0,552,26,0,30
410,1,555,26,0,30
420,1,565,26,0,30
430,1,575,26,0,30
440,0,579,27,0,30
450,0,579,27,0,30
460,1,583,27,0,30
470,1,593,27,0,30
480,2,612,28,0,30
490,2,634,29,0,30
500,0,647,31,0,30
510,0,647,31,0,30
520,2,658,31,0,30
530,2,678,31,0,30
540,0,687,33,0,30
550,0,687,33,0,30
560,1,690,33,0,30
570,1,706,34,0,30
580,0,715,35,0,30
590,0,715,35,0,30
600,1,716,35,0,30
610,1,726,35,0,30
620,1,742,36,0,30
630,2,754,36,0,30
640,1,766,37,0,30
650,2,786,37,0,30
660,1,797,38,0,30
670,0,802,39,0,30
680,0,802,39,0,30
690,0,802,39,0,30
700,0,802,39,0,30
710,0,802,39,0,30
720,0,802,39,0,30
730,0,802,39,0,30
740,0,802,39,0,30
750,0,802,39,0,30
760,0,802,39,0,30
770,1,808,39,0,30
780,1,818,39,0,30
790,1,828,39,0,30
800,1,840,40,0,30
810,0,845,41,0,30
820,0,845,41,0,30
830,1,854,41,0,30
840,1,864,41,0,30
850,0,876,43,0,30
860,1,880,43,0,30
870,1,890,43,0,30
880,2,902,44,0,30
890,3,930,44,0,30
900,2,946,46,0,30
910,1,961,48,0,30
920,1,971,48,0,30
930,1,984,49,0,30
940,2,998,49,0,30
950,0,1009,52,0,30
960,1,1012,52,0,30
970,0,1021,53,0,30
980,1,1027,53,0,30
990,1,1037,53,0,30
1000,0,1045,54,0,30
1010,0,1045,54,0,30
1020,2,1053,54,0,30
1030,2,1073,54,0,30
1040,3,1103,54,0,30
1050,3,1131,56,0,30
1060,3,1161,56,0,30
1070,2,1183,57,0,30
1080,2,1207,59,0,30
1090,1,1225,60,0,30
1100,0,1235,61,0,30
1110,0,1235,61,0,30
1120,0,1235,61,0,30
1130,0,1235,61,0,30
1140,0,1235,61,0,30
1150,0,1235,61,0,30
1160,1,1236,61,0,30
1170,2,1248,61,0,30
1180,2,1268,61,0,30
1190,2,1288,61,0,30
1200,2,1309,62,0,30
1210,0,1309,62,2,30
1220,0,1309,62,2,30
1230,0,1309,62,2,30
1240,0,1309,62,3,30
1250,0,1309,62,4,30
1260,0,1309,62,4,30
1270,0,1309,62,5,30
1280,0,1309,62,6,30
1290,0,1309,62,8,30
1300,0,1309,62,8,29
1310,0,1309,62,9,29
1320,0,1309,62,9,29
1330,0,1309,62,9,29
1340,0,1309,62,10,29
1350,0,1309,62,11,29
1360,0,1309,62,11,29
1370,0,1309,62,11,29
1380,0,1309,62,11,29
1390,0,1309,62,11,28
1400,0,1309,62,11,28
1410,0,1309,62,12,28
1420,0,1309,62,13,28
1430,0,1309,62,15,28
1440,0,1309,62,16,27
1450,0,1309,62,16,27
1460,0,1309,62,17,27
1470,0,1309,62,18,27
1480,0,1309,62,18,27
1490,0,1309,62,19,26
1500,0,1309,62,19,26
1510,0,1309,62,20,26
1520,0,1309,62,22,26
1530,0,1309,62,22,26
1540,0,1309,62,22,26
1550,0,1309,62,23,26
1560,0,1309,62,23,26
1570,0,1309,62,23,26
1580,0,1309,62,24,26
1590,0,1309,62,24,26
1600,0,1309,62,24,26
1610,0,1309,62,24,25
1620,0,1309,62,24,25
1630,0,1309,62,24,25
1640,0,1309,62,24,25
1650,0,1309,62,24,25
1660,0,1309,62,25,25
1670,0,1309,62,25,25
1680,0,1309,62,25,25
1690,0,1309,62,25,25
1700,0,1309,62,26,25
1710,0,1309,62,26,25
1720,0,1309,62,26,25
1730,0,1309,62,26,25
1740,0,1309,62,26,25
1750,0,1309,62,28,25
1760,0,1309,62,29,25
1770,0,1309,62,29,25
1780,0,1309,62,29,25
1790,0,1309,62,30,25
1800,0,1309,62,32,25
1810,0,1309,62,32,25
1820,0,1309,62,33,25
1830,0,1309,62,34,25
1840,0,1309,62,34,25
1850,0,1309,62,34,25
1860,0,1309,62,34,25
1870,0,1309,62,35,25
1880,0,1309,62,35,25
1890,0,1309,62,36,25
1900,0,1309,62,36,25
1910,0,1309,62,38,25
1920,0,1309,62,38,25
1930,0,1309,62,39,25
1940,0,1309,62,39,25
1950,0,1309,62,39,25
1960,0,1309,62,39,25
1970,0,1309,62,40,25
1980,0,1309,62,41,25
1990,0,1309,62,41,25
2000,0,1309,62,41,25
