time,active_robots,distance_traveled_total,tasks_completed,pending_orders,pedestrians_remaining
10,1,4,0,0,60
20,2,24,0,0,60
30,2,39,1,0,60
40,3,61,2,0,60
50,2,98,4,0,60
60,3,119,5,0,60
70,4,151,5,0,60
80,6,198,6,0,60
90,2,251,11,0,60
100,4,283,12,0,60
110,5,334,13,0,60
120,2,367,16,0,60
130,2,388,18,0,60
140,1,414,20,0,60
150,3,431,20,0,60
160,0,446,23,0,60
170,2,454,23,0,60
180,3,483,23,0,60
190,3,513,24,0,60
200,1,535,27,0,60
210,3,557,29,0,60
220,2,584,30,0,60
230,2,611,31,0,60
240,1,624,33,0,60
250,1,635,34,0,60
260,2,646,34,0,60
270,1,661,35,0,60
280,0,667,36,0,60
290,1,678,37,0,60
300,4,708,37,0,60
310,2,742,40,0,60
320,2,778,42,0,60
330,0,785,44,0,60
340,4,811,45,0,60
350,3,839,47,0,60
360,2,869,50,0,60
370,2,883,51,0,60
380,7,939,51,0,60
390,3,999,56,0,60
400,2,1026,57,0,60
410,3,1045,59,0,60
420,1,1066,61,0,60
430,4,1091,61,0,60
440,7,1144,62,0,60
450,5,1199,66,0,60
460,7,1253,68,0,60
470,5,1316,71,0,60
480,5,1384,74,0,60
490,4,1426,76,0,60
500,1,1455,80,0,60
510,0,1462,81,0,60
520,2,1473,81,0,60
530,2,1489,82,0,60
540,1,1509,83,0,60
550,2,1523,83,0,60
560,2,1546,84,0,60
570,1,1559,86,0,60
580,0,1564,87,0,60
590,1,1568,87,0,60
600,1,1575,88,0,60
610,2,1592,88,0,60
620,5,1633,88,0,60
630,5,1684,89,0,60
640,4,1731,91,0,60
650,2,1755,95,0,60
660,2,1770,96,0,60
670,3,1786,96,0,60
680,4,1817,97,0,60
690,2,1839,99,0,60
700,3,1855,99,0,60
710,4,1890,100,0,60
720,3,1912,101,0,60
730,3,1935,102,0,60
740,2,1951,103,0,60
750,1,1961,104,0,60
760,2,1971,104,0,60
770,3,1987,104,0,60
780,3,2015,105,0,60
790,2,2030,106,0,60
800,2,2041,107,0,60
810,10,2141,107,1,60
820,10,2232,107,2,60
830,10,2272,107,3,60
840,10,2275,107,3,60
850,10,2275,107,5,60
860,10,2275,107,8,60
870,10,2275,107,8,60
880,10,2275,107,10,59
890,10,2275,107,13,59
900,10,2275,107,15,59
910,10,2275,107,16,59
920,10,2275,107,16,58
930,10,2275,107,17,58
940,10,2275,107,19,58
950,10,2275,107,20,58
960,10,2275,107,21,58
970,10,2275,107,22,58
980,10,2275,107,24,58
990,10,2275,107,26,58
1000,10,2275,107,27,58
1010,10,2275,107,27,58
1020,10,2275,107,29,57
1030,10,2275,107,29,57
1040,10,2275,107,32,57
1050,10,2275,107,34,57
1060,10,2275,107,34,57
1070,10,2275,107,35,56
1080,10,2275,107,37,56
1090,10,2275,107,38,56
1100,10,2275,107,38,56
1110,10,2275,107,39,56
1120,10,2275,107,40,55
1130,10,2275,107,41,55
1140,10,2275,107,43,55
1150,10,2275,107,43,55
1160,10,2275,107,44,55
1170,10,2275,107,45,55
1180,10,2275,107,46,54
1190,10,2275,107,48,54
1200,10,2275,107,50,54
1210,10,2275,107,52,54
1220,10,2275,107,53,54
1230,10,2275,107,53,54
1240,10,2275,107,54,54
1250,10,2275,107,55,54
1260,10,2275,107,57,54
1270,10,2275,107,59,54
1280,10,2275,107,61,54
1290,10,2275,107,65,54
1300,10,2275,107,66,54
1310,10,2275,107,68,54
1320,10,2275,107,71,54
1330,10,2275,107,71,54
1340,10,2275,107,73,54
1350,10,2275,107,74,54
1360,10,2275,107,74,54
1370,10,2275,107,74,54
1380,10,2275,107,74,54
1390,10,2275,107,74,54
1400,10,2275,107,75,54
1410,10,2275,107,76,54
1420,10,2275,107,79,54
1430,10,2275,107,81,54
1440,10,2275,107,82,54
1450,10,2275,107,83,54
1460,10,2275,107,84,54
1470,10,2275,107,86,54
1480,10,2275,107,86,54
1490,10,2275,107,87,54
1500,10,2275,107,88,54
1510,10,2275,107,89,54
1520,10,2275,107,91,54
1530,10,2275,107,93,54
1540,10,2275,107,93,54
1550,10,2275,107,95,54
1560,10,2275,107,95,54
1570,10,2275,107,96,54
1580,10,2275,107,98,54
1590,10,2275,107,98,54
1600,10,2275,107,101,54
1610,10,2275,107,103,54
1620,10,2275,107,103,54
1630,10,2275,107,105,54
1640,10,2275,107,105,54
1650,10,2275,107,106,54
1660,10,2275,107,108,54
1670,10,2275,107,109,54
1680,10,2275,107,110,54
1690,10,2275,107,110,54
1700,10,2275,107,112,54
1710,10,2275,107,113,54
1720,10,2275,107,116,54
1730,10,2275,107,118,54
1740,10,2275,107,118,54
1750,10,2275,107,120,54
1760,10,2275,107,122,54
1770,10,2275,107,123,54
1780,10,2275,107,123,54
1790,10,2275,107,125,54
1800,10,2275,107,130,54
1810,10,2275,107,131,54
1820,10,2275,107,133,54
1830,10,2275,107,134,54
1840,10,2275,107,134,54
1850,10,2275,107,134,54
1860,10,2275,107,134,54
1870,10,2275,107,135,54
1880,10,2275,107,135,54
1890,10,2275,107,136,54
1900,10,2275,107,137,54
1910,10,2275,107,139,54
1920,10,2275,107,139,54
1930,10,2275,107,142,54
1940,10,2275,107,143,54
1950,10,2275,107,144,54
1960,10,2275,107,145,54
1970,10,2275,107,147,54
1980,10,2275,107,148,54
1990,10,2275,107,149,54
2000,10,2275,107,151,54
