time,active_robots,distance_traveled_total,tasks_completed,pending_orders,pedestrians_remaining
10,0,0,0,0,30
20,0,6,1,0,30
30,1,7,1,0,30
40,0,14,2,0,30
50,0,16,3,0,30
60,1,18,3,0,30
70,1,28,3,0,30
80,1,44,4,0,30
90,0,49,5,0,30
100,1,51,5,0,30
110,0,68,7,0,30
120,0,68,7,0,30
130,1,70,7,0,30
140,0,79,8,0,30
150,1,84,8,0,30
160,0,91,9,0,30
170,1,93,9,0,30
180,0,105,11,0,30
190,0,105,11,0,30
200,0,105,11,0,30
210,2,112,11,0,30
220,1,123,12,0,30
230,0,124,13,0,30
240,0,127,14,0,30
250,1,133,14,0,30
260,0,139,15,0,30
270,0,139,15,0,30
280,0,139,15,0,30
290,0,143,16,0,30
300,1,155,17,0,30
310,0,158,18,0,30
320,1,166,18,0,30
330,0,167,19,0,30
340,2,180,20,0,30
350,1,202,22,0,30
360,1,209,23,0,30
370,1,219,23,0,30
380,1,233,25,0,30
390,0,236,26,0,30
400,0,236,26,0,30
410,1,239,26,0,30
420,1,249,26,0,30
430,0,252,27,0,30
440,0,252,27,0,30
450,0,252,27,0,30
460,1,256,27,0,30
470,0,262,28,0,30
480,1,276,29,0,30
490,1,285,30,0,30
500,1,295,30,0,30
510,0,298,31,0,30
520,2,309,31,0,30
530,0,318,33,0,30
540,0,318,33,0,30
550,0,318,33,0,30
560,1,321,33,0,30
570,0,333,35,0,30
580,0,333,35,0,30
590,0,333,35,0,30
600,1,334,35,0,30
610,1,344,35,0,30
620,0,349,37,0,30
630,1,351,37,0,30
640,0,359,38,0,30
650,1,369,38,0,30
660,0,371,39,0,30
670,0,371,39,0,30
680,0,371,39,0,30
690,0,371,39,0,30
700,0,371,39,0,30
710,0,371,39,0,30
720,0,371,39,0,30
730,0,371,39,0,30
740,0,371,39,0,30
750,0,371,39,0,30
760,0,371,39,0,30
770,1,377,39,0,30
780,1,387,39,0,30
790,0,389,40,0,30
800,1,395,40,0,30
810,0,475,40,0,30
820,0,547,40,0,30
830,0,596,40,1,30
840,0,602,40,1,30
850,0,602,40,2,30
860,0,602,40,3,30
870,0,602,40,3,30
880,0,602,40,5,30
890,0,602,40,6,30
900,0,602,40,7,29
910,0,602,40,8,28
920,0,602,40,8,28
930,0,602,40,9,28
940,0,602,40,10,28
950,0,602,40,11,27
960,0,602,40,12,27
970,0,602,40,12,27
980,0,602,40,13,27
990,0,602,40,13,27
1000,0,602,40,13,26
1010,0,602,40,13,26
1020,0,602,40,15,26
1030,0,602,40,15,26
1040,0,602,40,16,26
1050,0,602,40,18,26
1060,0,602,40,18,26
1070,0,602,40,18,26
1080,0,602,40,20,25
1090,0,602,40,20,25
1100,0,602,40,20,25
1110,0,602,40,20,25
1120,0,602,40,20,25
1130,0,602,40,20,25
1140,0,602,40,20,25
1150,0,602,40,20,25
1160,0,602,40,21,25
1170,0,602,40,22,25
1180,0,602,40,22,25
1190,0,602,40,22,25
1200,0,602,40,23,25
1210,0,602,40,25,25
1220,0,602,40,25,25
1230,0,602,40,25,25
1240,0,602,40,26,25
1250,0,602,40,27,25
1260,0,602,40,27,25
1270,0,602,40,28,25
1280,0,602,40,29,25
1290,0,602,40,31,25
1300,0,602,40,31,25
1310,0,602,40,32,25
1320,0,602,40,32,25
1330,0,602,40,32,25
1340,0,602,40,33,24
1350,0,602,40,34,24
1360,0,602,40,34,24
1370,0,602,40,34,24
1380,0,602,40,34,24
1390,0,602,40,34,24
1400,0,602,40,34,24
1410,0,602,40,35,24
1420,0,602,40,36,24
1430,0,602,40,38,24
1440,0,602,40,39,24
1450,0,602,40,39,24
1460,0,602,40,40,24
1470,0,602,40,41,24
1480,0,602,40,41,24
1490,0,602,40,42,24
1500,0,602,40,42,24
1510,0,602,40,43,24
1520,0,602,40,45,24
1530,0,602,40,45,24
1540,0,602,40,45,24
1550,0,602,40,46,24
1560,0,602,40,46,24
1570,0,602,40,46,24
1580,0,602,40,47,24
1590,0,602,40,47,24
1600,0,602,40,47,24
1610,0,602,40,47,24
1620,0,602,40,47,24
1630,0,602,40,47,24
1640,0,602,40,47,24
1650,0,602,40,47,24
1660,0,602,40,48,24
1670,0,602,40,48,24
1680,0,602,40,48,24
1690,0,602,40,48,24
1700,0,602,40,49,24
1710,0,602,40,49,24
1720,0,602,40,49,24
1730,0,602,40,49,24
1740,0,602,40,49,24
1750,0,602,40,51,24
1760,0,602,40,52,24
1770,0,602,40,52,24
1780,0,602,40,52,24
1790,0,602,40,53,24
1800,0,602,40,55,24
1810,0,602,40,55,24
1820,0,602,40,56,24
1830,0,602,40,57,24
1840,0,602,40,57,24
1850,0,602,40,57,24
1860,0,602,40,57,24
1870,0,602,40,58,24
1880,0,602,40,58,24
1890,0,602,40,59,24
1900,0,602,40,59,24
1910,0,602,40,61,24
1920,0,602,40,61,24
1930,0,602,40,62,24
1940,0,602,40,62,24
1950,0,602,40,62,24
1960,0,602,40,62,24
1970,0,602,40,63,24
1980,0,602,40,64,24
1990,0,602,40,64,24
2000,0,602,40,64,24
